,"{container=""istio-proxy""}"
2023-12-21 18:15:30,1.0
2023-12-21 18:16:30,1.0
2023-12-21 18:17:30,1.0
2023-12-21 18:18:30,1.0
2023-12-21 18:19:30,1.0
2023-12-21 18:20:30,1.0
2023-12-21 18:21:30,1.0
2023-12-21 18:22:30,1.0
2023-12-21 18:23:30,1.0
2023-12-21 18:24:30,1.0
2023-12-21 18:25:30,1.0
2023-12-21 18:26:30,1.0
2023-12-21 18:27:30,1.0
2023-12-21 18:28:30,1.0
2023-12-21 18:29:30,1.0
2023-12-21 18:30:30,1.0
2023-12-21 18:31:30,1.0
2023-12-21 18:32:30,1.0
2023-12-21 18:33:30,1.0
2023-12-21 18:34:30,1.0
2023-12-21 18:35:30,1.0
2023-12-21 18:36:30,1.0
2023-12-21 18:37:30,1.0
2023-12-21 18:38:30,1.0
2023-12-21 18:39:30,1.0
2023-12-21 18:40:30,1.0
2023-12-21 18:41:30,1.0
2023-12-21 18:42:30,1.0
2023-12-21 18:43:30,1.0
2023-12-21 18:44:30,1.0
2023-12-21 18:45:30,1.0
